grid_id,existing_lx,recommended_lx,delta_percent,keep_hours,reason_1,reason_2,reason_3,reasons
33,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
34,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
35,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
36,25.0,24.599,-1.605,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
37,10.0,10.0,0.0,3,night_traffic|야간교통량|UP,cctv_density|CCTV 밀집도|UP,commercial_density|상권밀집도|DOWN,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}, {""key"": ""commercial_density"", ""label"": ""상권밀집도"", ""direction"": ""DOWN""}]"
38,10.0,9.892,-1.083,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|DOWN,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""DOWN""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
39,25.0,24.785,-0.859,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
40,25.0,24.867,-0.533,3,commercial_density|상권밀집도|UP,night_traffic|야간교통량|UP,cctv_density|CCTV 밀집도|DOWN,"[{""key"": ""commercial_density"", ""label"": ""상권밀집도"", ""direction"": ""UP""}, {""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""DOWN""}]"
41,25.0,24.82,-0.719,3,commercial_density|상권밀집도|UP,night_traffic|야간교통량|UP,residential_density|주택밀집도|DOWN,"[{""key"": ""commercial_density"", ""label"": ""상권밀집도"", ""direction"": ""UP""}, {""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""DOWN""}]"
42,10.0,10.0,0.0,3,night_traffic|야간교통량|UP,cctv_density|CCTV 밀집도|UP,commercial_density|상권밀집도|DOWN,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}, {""key"": ""commercial_density"", ""label"": ""상권밀집도"", ""direction"": ""DOWN""}]"
43,25.0,24.604,-1.584,3,night_traffic|야간교통량|UP,residential_density|주택밀집도|UP,cctv_density|CCTV 밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}]"
44,10.0,10.0,0.0,3,night_traffic|야간교통량|UP,cctv_density|CCTV 밀집도|UP,residential_density|주택밀집도|UP,"[{""key"": ""night_traffic"", ""label"": ""야간교통량"", ""direction"": ""UP""}, {""key"": ""cctv_density"", ""label"": ""CCTV 밀집도"", ""direction"": ""UP""}, {""key"": ""residential_density"", ""label"": ""주택밀집도"", ""direction"": ""UP""}]"
